student_star,comments
1,She has no interpersonal skills at all.
2,This teacher is not effective. I graduated with a computer science degree from Denison and work in the industry now. She had no grasp of the material  and if she did  was not able to convey it clearly. When she retires  I will begin donating money to Denison.
4,I really like Joan Krone as a person. She is nice and helpful. She is not very good at structuring a class  but the discussions we had were for the most part good. She's good at letting students set their own agenda and independent study types of things.
1.5,She is a very nice person and easy to talk to but is also very flighty and vague about her lessons. She spent the entire class helping students who were either CS majors or knew way more than most of the students. One of the books is written by her and is missing half the program for each program. Don't take this unless you plan to major in CS.
1,Joan Krone is an interesting person. This is not to say that you should take her class. If you are planning on being a CS major  and have a background in programming  she can help you out. She  however  has no ability to grasp that not every student has the same knowledge coming into class.
5,If you ask her a question she'll answer it.
1,Bad teacher. Unclear  seemed to be confused  could not explain worth anything. I learned more from my brother in 30 minutes than I did from her the entire semester. I'd say about half the class dropped.
5,In response to a previous rating. The drop info does not say all thta much  simply because many students get into computer science not fully understanding what they are getting into. Dr. Krone is a fabulous professor. On the texts  CS171 uses common on
1.5,The drop information says it all. As an intro class  this is nearly impossible because she can't help you even if you ask. The books that we buy are hers  and they are error filled and no as helpful as on-line sites. Although she will let you drop.
4,Not good at lecture. Makes material more confusing  than needs to be. She is very accessible and will work with you  if she see's that you are trying  which is her best quality! On exams  tends to put material that was briefly discussed.
5,"Nancy would ask us to explain some phenomenon  and we would always say ""shielding"" (which was the correct but lazy answer in every case)  and she got wise and started requiring us to defend that answer. Since then I've never given an answer I couldn't defend  in any medium  on any topic. 4 instead of 5 for defriending me on Facebook."
5,One of my favorite teachers. Always willing to help you and is available after class if you're having trouble. Definitely recommend taking her.
1,She's very rude. Her lessons are very confusing and unclear. If you don't know the correct answer during class when she's teaching something new she's really rude about it and makes you feel stupid in front of the entire class. Her scoring is random and her attitude sucks!
5,She made chemistry easy and understandable. I'm disappointed that she isn't teaching CHM 112
5,AMAZING. She presents the material in a way that's understandable. Answers every question and does practice problems. Hw every night  3-5 questions. Tests aren't too hard and she's really friendly!
5,Wonderful professor  was struggling in the beginning. She took her time  made sure I understood what she was talking about. If you can take her whenever possible.
4.5,The best chemistry teacher I have ever had!!!! I wasn't doing well in chem and I always went to her for help..she answered every single question and took time after class to help me. Curved my grade which saved me!! She rocks:)
4.5,Great Teacher  easy to get along with  and is an easy grader.
3,She is really nice  and keeps class interesting. Answers all your questions. gives you homework first day and it is all due by the end of the semester. its okay to miss class
4.5,A Great Teacher - hard to understand at first until you understand her style after which you will love her
5,GREAT TEACHER.....A REALLY NICE PERSON
5,No Comments
5,She really knows what she is talking about  involves the whole class  and does it in a way that keeps the class interesting. She is one of the nicest teachers ever!
5,No Comments
5,One of the best teachers ever
5,She's one of the best teachers I've had at LaSalle. She's willing to devote any of her free time to you  if you ask for it. I've enjoyed her classes.
5,Excellent professor. The best one I ever had.
5,Dr. Jones is the best teacher ever!
5,Very good teacher  extremely knowledgeable. Always willing to help
5,Professor Pletcher provided me with two classes during my time at Denison University as an exchange student. Behind a fairly tough facade hides a wonderfully engaged  intelligent and brilliant teacher and professor. His classes were inspiring and insightful and instrumental for me in determing my academic path. Pletcher comes highly recommded
1,He is a very mediocre teacher  and doesn't seem to interact well with other students. He acts like political science is hard when it really isn't.
1,I would have to agree with the comments below. He is really ineffective and rigid. Not very personable either. I would try to avoid him.
1,One of the worst teachers at Denison. He is very arrogant and really needs to retire.
3,Pletcher is a brilliant professor  but I don't look forward to his class. He runs our freshman seminar 102 like a POSC 300-level. He also read student essays
1,Do not take him.
5,Best professor I have had at Denison. Extremely clear and interesting in class. He is also very helpful out of class. I have never met anyone so knowledgeable.
1,He is really arrogant and unfair. Not a very good teacher. Avoid at all costs.
5,Great professor--best at Denison.
4.5,The man will make you work for your grade  however  in the end  if you do not know the information  it is simply because you are not paying attention or reading. The man laids things out for you so clearly  that sometimes  you wonder if you are truly doing the work! He is that damn good! You would enjoy his class!!
5,This man is a genius. The class itself is extremely hard  and it's not my major or anything (and my first PoliSci class) so I have trouble with it  but he's really good about explaining things if you ask. I thought I'd hate the class just because it's SO hard  but I don't  because Pletcher rocks.
5,extremely intelligent
5,I agree  he's the best teacher I had at Denison. I learned more in his classes than any others.
5,Best prof on campus.
5,makes you work like crazy to earn your grade  but you learn so much...and he's a really fair grader  which is always good
5,No Comments
5,IPE  hard class  but man I learned a lot by the end of the semester. Great guy too!
2,His way or the highway. Get out while you still can.
1,She is not helpful
2,All she does is stand in front of a computer moniter and reads off the powerpoint...The class is NOT interesting
4,I had Ms. Hampton this past spring  and I must say  it was quite a challenge. I can see why people may say that she really doesn't interact as much with the students during class...but on the other hand I have to say that she is extremely smart. She definitely knows her info. I received an A but it did not come easy. Overall  she was a fairly desce
1,She is the worst grader ever. She felt sick for half of the semister(its ok) but she didn't grade my research paper extracredit paper and finals(given by some other professor)right  which cost my GPA to go way down. Defenitely not good. DONT TAKE HER>DONT KNOW WHAT SHE IS TEACHING.
1,She is the worst teacher that I have ever taken. Please do not take her. She talks too fast and reads straight out of the book. I did not learn anything.
2,LIke someone else said  avoid her at all costs. She is very bright and knows her subjects well  BUT she is not good at teaching or writing test questions. She does not use outlines or review questions. You will either sink (and most do) or swim. AVOID!
1.5,Everything I learned in Micro I had to learn myself. She basically just sits at the front of class and reads the textbook to you. All her lectures taught me is what to focus on for the test - sort of. She was never there for office hours  never availab
5,Excellent. She challenges you all the way through and will help you make IF you dont give up. She is worth the pain. You will learn alot from her. She is great. I took her for Bio 1612 also!
5,Ms. Hampton is perhaps the only teacher that challenged me to my utmost ability at GPC. If you are used to being spoon fed  she aint for you. If you are the type who loves challenge  I challenge you to take her. She is very fair  helpful and interesting.
1,I will advise you to wait for 2 years for a better instructure rather than to take her class. She is inexperienced and does not answer questions correctly  rather  she will give the question for an xtra credit. What a nightmare she is........
2,Oh my gosh! I just turned in my final and i wouldn't take this class if i were you. Dont get me wrong now  she knows her biology but i think as far as her method of teaching and testing
1,She is an inexperienced Professor  who basically reads an outline  and poses questions to the class throughout class. The worst part is that if most of the class failed a quiz or test(almost every class!)  she was totally callous & indifferent. Avoid her!
5,Great prof. He really made me think about life and how I think about things. He challenged me to venture outside the box and question what I believe and why as objectively as I could. Really showed me how closed-minded I was. This class is a must for first years. Essays aren't hard. Just incorporate what he talks about in lecture. READ THE BOOKS!
5,You. Must. Read. The. Assigned. Reading. You must. Otherwise the tests will be more difficult than they have to be and you won't understand his lectures as easily. He will also try and scare you out of his class in the beginning but don't be fooled. Only if you are willing to attend should you take this class. Excellent teacher.
5,This was possibly the best possible intro to Philosophy class I could have taken. The material was presented in a way that made it easy to apply the concepts to real life. Panos really makes the material come alive  and if you open your mind at all  you will do great  and leave with at least a new perspective on life. DO THE READING!!!
4.5,He knows what he's talking about and enjoys teaching his class. He has a somewhat rude manner but don't take it personally. I was intimidated to talk to him at first but when I finally did  he helped out a lot! Just pay attention  read and take good notes(:
4.5,He's belittling and rude because he knows what the hell he's talking about and you don't. Pay attention  take notes from what he says AND what's on the board. Ask questions if you don't understand something or want clarity.
5,great instructor. big on class participation. do the reading and take good notes on what he says  not just what is on the board. Some greek language needed to retain but not much. BE THICK SKINNED because he can make you feel small but know that everyone there is exactly the same.
4,Great teacher if you pay attention and you are actually interested in philosophy. Most of the kids in my class who failed never paid attention. You must be a good note taker and take notes about what he says  NOT what he writes on the board. Great class though. Very useful  really makes you think.
4.5,Alexakos is one of the most interesting professors at Santa Fe. Really gets you interested in the material and explains it in a way that everybody can understand. Class is really tough and there is a strict attendance policy  but going to class will be not a problem. Very interested in philosophy after this class. highly recommended
4,If you enjoy participating in class you have to be thick-skinned. Pannos is a great teacher  but if you don't give him the exact answer he is looking for he can be really dismissive. It's not personal. It's just his manner. He is extremely knowledgeable but the only point of view that really matters is his own.
5,Alexakos is one of the best teachers I've had at Santa Fe. I took Philosophy my first semester and failed. so i was dreading round 2. But he is so passionate about the material and so approachable in and out of class. The assignments and tests are easy and he loves to help with the 500 word essays assigned throughout the semester.
5,He is not interested in your commentary on the test or vague questions that leave other students looking for the Blackberry. Ask only questions that will help you or others understand the material and you will be fine. If you are interested in hearing yourself talk go somewhere else.
4,He teaches good philosophical ideals  but he does not follow them himself in the class discussions. He likes to cut people off before they can finish their sentence. He has some interesting concepts though and teaches the class well. There are only four graded papers composing 80% of your grade in the class. Dislike.
4.5,I love Philosophy & taking it with him was great! Respect him  always go to class  get the concepts  read what he assigns  and be able to write a decent essay. :) & Don't be scared to ask questions or share what you think. BUT he will tell you when you are wrong. hahaha.
5,Panos is an excellent philosophy teacher who knows his stuff very well. He is indeed hard and will tear you down if you dont know what your talking about  but if you are respectful and attentive in his class you will do fine. Also study and read all information given to you and come to class regularly. I got an A because I did all these things.
1.5,Dr. Alexakos will expect you to write a PHD level paper in his class. If you are cool with a B this wont be a problem  if you want an A take someone who is actually willing to give them for undergraduate level work.
3,This is not an easy class. One should not expect to walk in and ace it. You will never use a textbook in his class which is nice. Instead you use 5 small-large books. The class is a study of philosophical ideas and how they can be applied to morality in daily life. Your grade is mostly comprised of two papers and 2 tests. Tests = easy. Papers = not
2.5,DO NOT TAKE THIS GUY. Failing so had to withdraw  should have looked on here before. very hard class he is not clear whatsoever on what he says and it only gets harder. DO NOT TAKE HIM
2,Ethics not very ethical. Unable to make office hours- -had a mandatory attendance class at the same time. Despite this  I did see Panos a few times so he could review my essays. I followed his recommendations exactly and still got a C. Couldn't win.
4,If you don't like philosophy  DON'T take this class!! The concepts are very hard  but Panos does very well at explaining them. If you read the text  listen in class  and know each concept inside and out  then you will do fine. There are 2 papers which are easy. He's a good  funny teacher though.
3,I did not elect to seek Panos in his office hours  mainly because I had classes during all of his hours. This hurt my grade significantly as he does not clearly outline the expectations on the papers during class time. Had I gone to hours I likely wouldn't have had this issue.
5,He's really smart and a good teacher. He gives a lot of extra credit for showing up to review sessions and open labs and will explain things you have problems with. He's my favorite A&P prof I've had so far.
5,Professor Kent is extremely smart and makes it clear he wants his students to succeed and understand the material he is teaching. He gives you all the tools you need in order to pass his test. He gives you so much material and lets you know exactly what is on the exam. I would take him again!
5,Dr. Kent is awesome. His lecture and labs are the most difficult I've ever had but also the best. I graduated the RAD program 2 years ago and his classes helped a ton in the long run. My advice? Worry less about the textbook and a lot more about what he SAYS and writes on the board. If you can't listen/recall what he wrote on the board you'll fail.
5,Dr. Kent is very smart and he makes that very obvious. His tests consists of a lot of critical thinking but he certainly gives you the tools to succeed. He has weekly review sessions to go over essay questions and even gives extra credit for attending them! I would take him again! Do or do not  there is no try! you have to put forth the effort.
5,Dr. Kent is a very helpful professor and is willing to help all the time. His tests are hard but he gives you the material to do well on them. He is very caring for his students and wants everyone to be successful. I would take him again if I could. Work hard  ask questions  and go to review sessions and you will do great. He is a great professor.
5,"Dr. Kent is brilliant and passionate about teaching. He tells his students every day ""If you don't understand please stop me."" He truly desires student success but you have to put in your part."
5,Great professor. Very intelligent and you will learn a lot. If you put the time and effort into the class you will do well. He is always willing to talk and help you out. I would take his classes again.
5,I cannot understand how anyone can say that Dr. Kent does not offer feedback. He is always available after class and during office hours. He will answer any questions you have but you have to ask. Don't expect him to know that you don't get something. ASK HIM. Tests are intense but he practically gives you the test in his reviews! STUDY THEM!
5,Hands down the best A&P teacher at VSCC. He's infinitely knowledgable and doesn't just read from slides -- he physically teaches on a chalk board. Extra credit is available on tests as long as you really put effort into studying the material. Sometimes it feels like he's moving too slow  but it's all because he cares about student comprehension.
5,Professor Kent is hands down one of the best professors I've had my college career. He gives a ton of extra credit and tells you exactly what he expects and what he'll ask on his exams. He's extremely knowledgeable and a great person in general  a real gem. He always comes to class with a smile and a Hawaiian shirt on.
5,Kent is a great bio prof! For A and P  I recommend him 110%. I learned so much! It's a lot of memorizing  but he gives you study guides  out of class help  and extra credit on exams. Show up and pay attention  and you should get at least a C or better.
4.5,Dr. Kent is flicking awesome... most definitely NOT EASY but A&P isn't easy and I am grateful to have had a professor that was so committed and knowledgeable since I have drawn greatly from what I learned in his class.
3.5,Dr. Kent is one of the best teachers I have ever had. He is very thorough and passionate about his work. He is very approachable  likeable  and generally a nice guy. He gives tons of extra credit on his exams but his exams are tough. He gives a study guide and will tell you what essay questions will be on the exam. You can pass with an A.
4.5,I love Kent!!! It's A&P  so yeah  it's work. But he is ultra nice and helpful. You know exactly what essays you will have on tests  so if you prepare those in advance that helps a ton. The hardest thing is his TF on exams. He loves teaching and always remembers everyone's name. Always study a couple hours every day and you should be good.
4.5,Hardestsmartest professor I've ever met in my life. He was even the co-author of our textbook that many colleges use  lol. I only earned an A in his class because of his incredible teaching ability. He will fill the entire board up multiple times per lecture but you better write every word of it down. He never gets off topic and always helps you.
4.5,Dr. Kent is my favorite teacher. He is very thorough and tells you everything you need to know. Studying is a MUST for this class! Especially for the essay questions  but he gives study guides that literally has EVERYTHING on it you will need. So helpful  always made time if I didn't understand something. Also gives amazing extra credit.
4,Dr. Kent's class is tough  but his willingness to help makes a good grade possible. However  because he is so passionate about what he teaches  he is extremely thorough. As long as you don't mind putting in the hard work  Kent is a great teacher. He truly cares about the success of his students. I had him for A&P1 L and taking him again for A&P 2.
4,Great Professor!! Will be taking him again!!
3.5,Dr. Kent is a very thorough professor. He gives a ton of information and the tests can be difficult. As long as you study the essay questions and notes  an A is possible. He gives a lot of extra credit on every test. Highly recommend.
1.5,This man is to smart for community college. He needs to be at a university teaching students that already have a degree  not first or second year students. He doesn't offer much help and talks WAY above students level.
2,This class has nothing to do with the course description. It is a web design class and I don't know why it's not being displayed as one. Sanders is a really nice guy but he doesn't know how to teach. His tests are hard  he doesn't know what he's doing in class  and excepts you to know everything. Unless you're a MWD major  don't take this class.
1,This is by far the worst professor I have ever had. He does a horrible job at explaining things  he lectures you when you don't do well on the exams  he claims the class is easy all the time which it's not  and he is so insulting. The reviews for the exams and study guides are completely useless. DO NOT TAKE THIS PROFESSOR!!
3,He is hard of hearing  but very nice and understanding. He easily gets off topic  but is funny in his own way. We learned PHP and C# and you kinda have to teach yourself.
3,He is hard of hearing  but very nice and understanding. He easily gets off topic  but is funny in his own way. The Visual Explanations Book is hard to understand  but you will be tested on it. This is a web design class so be prepared to code and use Dreamweaver.
1,Don't ever choose this professor for any course. I took him for a Hunger class and he absolutely hated me for no reason. He's very rude and arrogant. He gave me a C in the class when I calculated my grade to be a B+. This man is corrupt and bases grades on how well he likes you.
1,"He is a horrible professor. His website is as awful as he is. http://sandlight.com/ ""design patterns are such stuff as dreams are made on"" is his catch phrase on his website. That doesn't even grammatically make sense  never mind the fact I have no idea what it means. I don't know how he can criticize anyone else's website. He is cocky/rude. AVOID!"
1,"He continuously asks you to redo projects and then drops your grade for handing them in ""late"". He spent most of the classes trying to figure out his own code rather then teaching us how to code things."
2.5,Got off topic quite often
1,Extremely unintelligent  though well-intentioned. The Hunger class was a breeze if you read the books  but don't expect to learn anything whatsoever from Sanders. He spends most of class time showing videos and telling personal anecdotes. Easily distracted and incapable of clearly answering simple questions. Easy A if that's all you care about.
3,Very intelligent guy but has trouble teaching it to others. He got off topic easily. We used three books that seem to be above what students can comprehend. Students really have to think to connect what the books are saying to web design. Hated the Tufte book. Exams are pretty easy if you have the slightest idea what you're talking about.
2,He is not a good professor. He is very intelligent about the topic but cannot relate it well to the students. He does not fully explain himself. He puts code up and expects you to absorb it and be able to understand what it is all about. The MWD department really needs to get another professor that can teach this subject.
3,very nice man  though his ego was quite apparent...rushed CSS too much
4.5,Awesome teacher.
2,really nice guy...needs work on his teaching
1.5,Gets confused easily. Assignments/tests can be difficult because you don't know what he wants or will ask. Definitely has favorites. Gives a lot of projects along with quizzes/tests. Almost deaf! It's hard to ask questions in class.
2,aloof
1,Seems to get flustered on opening basic programs such as powerpoint
3,Dr. Sanders can be VERY vauge at times but his is the nicest guy in the world! And if you want to get out of a test just keep asking him questions about 1. anything with technology 2. his sandlight productions website!
2.5,good guy tries hard but is about past his prime. can be a useful professor but will take some patience.
2,This course was all over the place. We used 4 books on what seemed to be totally unrelated material. His lectures make no sense whatsoever.
5,She is an amazing instructor  who has much knowledge.
4.5,Have taken many classes with Gel. She's highly recommended. If you want to learn how to dance  go to her.
5,Gel is really a great teacher. Knows the material backwards and forwards but has a way with personalizing the material as well. She knows what it's like to be a student. Will certainly take more classes with her.
5,Such a great professor. I took this class for extra credit. Very much enjoyed it. Such a great teacher. Really knows what shes talking about.
5,Great class  great professor! Gel and the class itself is difficult but if you tough it out you will not only plass but develop useful skills as a dancer.
4,If you do not like to be picked out in front of everyone do not take the class. She has favorites and uses them to demonstrate and calls them out. It can get very frustrating.
5,Wonderful professor. Certainly cares about her students  and does anything she can to help them learn and grow- as long as they are willing to put forth the effort. This class will better you as a dancer and a performer  and you will learn more than you anticipated  I'm sure. You won't regret taking a class with Gel! She's great :)
5,Very fun but challenging class! If you're open minded  by the end of the semester you'll know how to tap. Gel is one of my favorite professors. She's hard  straight to the point  and a great teacher.
5,One of the best dance professors in RI. The class was very fun but probably the most challenging. If you're willing to learn she will help. Recommended professor.
5,I loved taking choreography with her! I learned more than I thought I would. I was able to express myself every week with solos I got to make up. The final was the best part! You get to create a 3-5 minute dance and perform it for an audience. The class sometimes felt like therapy in a good way. You have to journal on readings. I am taking part 2!
5,Best teacher in the department-perhaps the college. You get out of her classes what you put in. If you want to learn  you will. If you don't  you won't.Gives attention to all levels in the class. Whether an advanced dancer or beginner. Do not expect and easy A - expect to write and work hard.Put in the effort and the class is VERY rewarding andfun!
4.5,Gel is a wonderful teacher. She knows a lot about dance and the theater world and she is always telling stories about famous people she knows. She may come across as mean at first but once you get to working with her she is actually very nice and a great teacher. I recommend taking a dance class with her!
4,I had her for intro tap. She was a lot of fun to have as a teacher. I have been tapping since I was little so I knew a lot already but she had a totally different way of tapping then what I was used to. I found this experience a lot of fun and I am definitely looking forward to taking more classes with her!
2,She is very rude. If she feels comfortable with you she has no problem calling you out in front of the entire class  making you look stupid. Unless you are one of her favorites  she could care less about you  or how she makes you feel. You do get a good work out  but it's not worth the humiliation or the frustration.
1.5,NOT THAT GOOD AT ALL. AMATEUR HOUR
5,Had her for Intro & Int. Jazz.Absolutely loved her! Been dancing my whole life and I know a good teacher when I have one. Takes time to correct you individually and answer any questions  very encouraging as well. Caters to all levels as well. Some readings and short papers  but very easy. Attendence and proper attitude is a must though.
4,Gel is very nice. When coming to class make sure you dress appropriately. She tries to make class fun and pushes you to do your best. Work out and stretches along with combinations of jazz. A few handouts at first that you have to read and respond to but after that you just dance. Hard but worth it.=] Good class. you will definetly learn new things
5,Gel is incredible. You will learn life lessons as well as everything about dance. Other professors should take teaching lessons from her. She is one in a million! Love you Gel!
4.5,LOVE HER! you actually get a nice workout... its great :) love you gel!!
5,What can I say  loved her and the class!
3,He's an OK prof. Lectures are dry but mandatory as he has weekly quizes that count for 15 percent of your total mark. 4 midterms no final and exams are all written and very easy. No need to buy the textbook even though he says you have to. Read the powerpoints and come to quiz days and you will get an A.
5,AMAZING! take him for 415  he knows what he is doing. GPA booster
1.5,Lectures were extremely unclear  the first midterm was a disaster. No one knew what he was asking. Tries to be helpful but makes students uncomfortable instead. He WILL interrupt you throughout your entire presentation  making it very difficult to keep things flowing. The content of the class is good but the instruction of it was very poor
1,Big disappointment  avoid this prof and class
2,Ian is a weird guy and not a great instructor but it's easy enough to do well if you readmemorize the textbook and show up to class. He loves to hear himself speak so it's hard to have meaningful conversations. His marking is inconsistent and ambiguous at times. He doesn't really lecture so you have to read and memorize the book to do well.
4,GPA boosting. Show up to class  do your best  and youll get an A! Exams arent cumulative and the project was marked generously. The students tend not to be as competitive or as smart as what would be found in accounting or finance classes  since most just take it as an easy option. Class is not curved  and relatively easy to get in the mid 80s.
5,Excellent professor. Interesting practical class applicable to real life! Exams and assignments were straightforward and expectations were clear. Fair marker and good feedback. Some immature students whine and take it personally when they are critiqued on their sub-par work and challenged to improve. Recommended with Ian  and would take again!
3,He is willing to chat about the material and help you. However  half the time his answers don't make sense. Course has 3 non-cumulative midterms  a group presentation and the take home final is two essays. He can be frustrating and unclear but good lecture overall.
4,Not sure why Ian gets such a bad rep. He is not a super interesting prof but just show up to class and do other class work while you're there. You don't need to pay attention if you read the textbook instead. 3 non-cumulative midterms and a final project (3 questions answered in essay form).
2.5,Worst class ever. Super easy  3 non cumulative exams. Read the textbook the night before and you'll be fine. He's super boring and his lecture slides are just pages from the textbook that he wrote  and he just reads them out loud. But he takes attendance so you have to go to class and suffer through it. Doesn't know how to use uLearn either.
2,He makes attendance mantory  so if you want the 10% participation  you must go to every single class. easy quizzes. marking was unfair for midterm. did not specify what he wanted but when he marked  it was very specific. the marks ranged from 50 to 100. take home final.
3,I actually didn't mind him as a teacher. I felt I learned enough to get me through the rest of my SMO classes. The only thing is I feel his marking is sort of  bi-polar. I need awesome on the mid-term and project but then didn't do well on the final  which was take home  even though I felt I answered the questions. And he wasn't very helpful after.
5,Very easy quizzes and exams(10-11 MC weekly quizzes  1 short answer midterm  1 take home final essay) As long as you attend his lectures and pay attention you will do well. He is unprofessional in presentations as he does tend to interrupt  I didnt notice that adversely affecting my grade tho. SEE HIM prior to presenting so u know what he expects
2,Was very unprofessional during group presentations as he often always interrupts speakers in the middle of their presentation and would even answer his own questions in the end without waiting for class discussions. Quizzes and midterm are an easy 100% even if you've just skimmed the chapters and read his slides beforehand.
3,Show up for class and read the chapters. Class is really general and the final is a take home essay! easy A
1.5,This class is basically SMO 201 with a little more description into HR practices. I hate this class with this professor because it provides generalized material with a teach who can not decide on a steadfast and concrete answer. Once you question his analysis  he holds a grudge. Take 311 with someone else.
2,Class was a total waste of time. Very little work and a group project where you can slack and a take home essay final (like an english class). Doesnt show what you know but rather how well you can write. Waste of 3 credits  not applicable to real world practises. (to be fair HR is hard to teach in classroom)
2.5,This guy is such a total joke. This is my second degree and I have never seen such a useless  lazy  teacher. He could never cut it in the real world so he has to teach. AVOID!!!
4.5,easy class  pretty interesting stuff.
3,She wasn't a bad teacher  but not someone I would recommend to anyone else. She makes you read a lot of books which isn't great but as long as you aren't an English major you'll be fine. We were supposed to have five papers and we only did three  and she cancelled class like four times
4,I had her for English 120 and she was generally an okay teacher. We mostly just talked about the book we had to read and most of the times we (or she) would go off on tangents. Not too many papers  mostly just reading and class discussion.
1,DO NOT TAKE.I switched into her class and not only is she a hardcore feminist that only gives women a chance  she is a really tough grader. She also doesn't care about her students (again  unless you're a woman passionate about feminism). Do NOT take her. She will have you rolling your eyes as she complains about male privilege.
3,A lot of reading which is to be expected. Class participation is key  if you dont talk in cass you are screwed
3.5,Good instructor  she's hilarious and has a passion for English that most people don't have. Participate in the discussions  come up with original ideas  and you'll be fine. Lots of reading (it is a Lit course) and two-page papers due every week. Participation is a huge part of the grade  introverts beware.
3,First impressions are everything with this professor. If you talk a lot  you'll get a great grade and she'll really like you
4,Dr. Carr is one of those English teachers that you either love or you hate. You will read a whole awful lot  but the books are generally interesting. Classes are just one big discussion  where basically no topic is off-limits. As long as you can read and just talk a lot during class  you'll get a good grade.
4.5,Professor Carr is one of the best professors I have had thus far. She is extremely open minded and loves to hear your opinion regardless of her agreeing with it. As for people complaining about the amount of books and reading  you can get her books cheaply online  and don't complain about reading when you are in a literature class. That is silly!
5,Really great teacher. Friendly. Funny. Easy to talk to.
4.5,This is my second time taking her class  and she is a spectacular teacher. Her class is heavily dependent on assigned readings and class discussions  but overall  is rather chill as she is very open-minded. You have to buy a lot of books  so expect to spend quite a bit of money. If you're not much of a talker  do expect your grade to suffer though.
3.5,Lots of books to buy for this class but they are all less then ten dollars. Sometimes less then 5 or free cause some are on amazon. If you are a person who does their work last minute all the time  dont take the class. She requires you to read chapters and discuss in class. she has strict rules  she will open your mind about the world. big femenist
4,I am in this class now and was dreading taking Eng.Lit. because I don't like to read. The class is run as a discussion group and we are required to write a paragraph or two about what we read and bring one to each class. She lets you know what's expected first class. She is funny and makes class go by fast. I would absolutely reccommend her!
3.5,This professor is incredible. People may hate her because she has you read some books you probably never would but its because she does that that she really expands your world and thinking. If you enjoy reading and thinking outside the box take her  she's a great first English class to take if your an English major especially.
2.5,Hmm  I'm not really sure how I felt about this teacher. Some days I liked her and others I didn't. She requires you to buy like 10 books for her class and you go through one a week. Class is just a discussion on what you read. If you like reading and talking out loud take this class. However I did not say a single word and still passed with a C
4,Final grade may be 50% participation but speaking in class is really not required. I spoke about 4 times  got A's on papers and got an A- in the course. I think as long as she recognizes that you are reading the texts and you are paying attention in class  you're good in her book. If you don't mind reading  take her!
5,AWESOME teacher all you gotta to do is talk in every class talk about the book make questions etc...only thing is that there is alot of books to buy read maybe as long as you know how to talk
3.5,This class is complicated at best. The class is seminar format with group discussions on every book. She gives insane writing assignments that make no sense. She is very nice  but the papers should be used for a creative writing class  not this. Overall though  its an easy class. 50% of the grade is simply showing up. The other 50% is essay-based.
1,AWFULLL! you have to buy a bunch of books and read them within a week. about 80 pages of reading for each class do not recommend at all. also her grading system is HORRIBLE! it's based on how much you talk in class but she doesnt let u kno how u are doing mid semester and very rude to students. HORRID EXPERIENCE
1.5,DO NOT TAKE! She is the worst professor I've ever had at RIC. Western Lit is a required Gen Ed course  and she gears it towards English Majors. Very rude  and does not care about the students at all. Requires you to buy about 14 novels  and you go through about one every week. Grading is based on her opinion of you. AWFUL!!
2,Horrid experience. Not a fan of reading  and we did a decent amount.. Not the easiest grader. Participation is important  but all that seems to happen is random rants completely off-topic. Pretty boring class.
4.5,pretty easy class..this guy owns a lawfirm though so it is early in the morning. i hate getting up early and i still managed to ace the class. tests are m/c and easy if you review your notes well. he also curved all the tests in my class. make sure you pay close attention cause he doens't repeat himself oftern. TAKE THIS GUY! STUDY ALL YOUR NOTES!
4.5,He's a very good teacher. And also a very nice guy. Everything in the class is helpful for real life. Test are easy  just review ur notes.
2,She is old-fashioned in her approach to teaching the subject matter. She is definitely not a political scientist and is probably best suited for a different discipline altogether. I found her courses to be poor preparation for graduate school.
2.5,Brutal workload based around unclear prompts led by unhelpful instruction. The papers felt entirely unrelated to the course material. I had to fight and scrape for my mediocre grade and I had one of the better grades in the class. When half of your students are bombing  it might not entirely be their fault.
2,Dr. Davis is nice enough  but she is unbelievably hard. Was pretty interested in Political Science prior to taking her class  but now  will never take another one. Really tough papers with very vague prompts. Avoid her FYS 102 at all costs.
4.5,Great teacher. Very willing to help the students  always available for questions. Definitely the hardest FYS on campus  but she managed to make it a great learning experience. I feel much better about my own writing skills than I did before this course. She can be intimidating  but she is super nice.
4,Dr. Davis is super laid-back and more than willing to work with students should they ask for help. The reading material can get a little dry  but I think Dr. Davis does a great job of leading class discussions. She is a great professor and mentor.
1,If you want to become misinformed about the truth's of the world take this professor. The answer for everything is War and America in this class. This is a class for narrow minded people.
2.5,The reading for my class was out of control!! And she didn't give very good feedback on papers so i didn't feel like i got that much out of the class.
5,This was a boring class. It was tuesday and thursday at 10 and all she did was show us powerpoint presentations that she had made a long time ago. She told us where they needed updats  but I still didn't like it. She was very nice and very helpfull (esp. for students needing extra time) but she did not bring the subject matter alive for me. READ!
3.5,she is a great teacher and I lover her in class  but she is very tough on grading
3,interesting...
5,One of the nicest  laid-back  easy to approach professors at this school. And tremendously  tremendously smart.
5,Easily the smartest teacher at Denidoo.
5,The best professor I have had at Denison.
5,I loved her. I have to agree with the person below me though  she can be pretty rude at times. Class was a lot of fun!!
5,Fun Class  Can Be A Little Rude At Sometimes But I Had Fun  Your Required To Go To 3 Shows and your final is a group project or by urself.... Class Got Me In Shape... I had Fun
5,I had Prof. Ward a few years ago. She is really nice and very helpful. It was the first college class I ever took and I feel fortunate to have had her!
4.5,I love Mrs. Ward! She is an incredible teacher and extremely helpful. I have her for Intro to Modern Dance  and it's a great class! Beileve it or not  it even puts you in shape!
